date,region,category,units,unit_price,revenue
2025-01-01,EMEA,Data Engineering,18,111.78,2011.97
2025-01-01,AMER,Analytics,2,90.25,180.5
2025-01-01,APAC,Data Engineering,1,160.21,160.21
2025-01-01,APAC,Data Engineering,3,134.7,404.09
2025-01-01,EMEA,AI,6,123.16,738.97
2025-01-01,AMER,AI,10,140.86,1408.59
2025-01-01,EMEA,AI,19,106.27,2019.16
2025-01-01,AMER,AI,7,64.75,453.24
2025-01-01,AMER,Data Engineering,4,81.98,327.91
2025-01-01,APAC,Analytics,9,114.39,1029.53
2025-01-01,APAC,Data Engineering,9,103.84,934.55
2025-01-01,AMER,AI,9,74.1,666.86
2025-01-01,EMEA,AI,5,124.4,622.02
2025-01-02,APAC,Data Engineering,14,151.83,2125.58
2025-01-02,AMER,AI,10,146.53,1465.32
2025-01-02,APAC,AI,3,116.65,349.95
2025-01-02,AMER,Data Engineering,4,83.25,332.99
2025-01-02,EMEA,Data Engineering,13,160.76,2089.94
2025-01-02,EMEA,Analytics,5,123.58,617.9
2025-01-02,EMEA,AI,17,180.01,3060.21
2025-01-02,EMEA,AI,3,122.24,366.71
2025-01-03,EMEA,Analytics,5,140.49,702.44
2025-01-03,APAC,AI,8,140.02,1120.14
2025-01-03,EMEA,AI,9,126.09,1134.85
2025-01-03,EMEA,AI,13,123.82,1609.63
2025-01-03,EMEA,AI,7,114.11,798.8
2025-01-03,APAC,Data Engineering,2,154.36,308.71
2025-01-03,AMER,Analytics,1,139.41,139.41
2025-01-03,AMER,AI,17,106.1,1803.78
2025-01-04,APAC,Data Engineering,17,140.68,2391.6
2025-01-04,EMEA,Data Engineering,19,112.49,2137.39
2025-01-04,EMEA,AI,4,107.16,428.64
2025-01-04,APAC,AI,1,116.38,116.38
2025-01-04,APAC,Data Engineering,13,86.58,1125.51
2025-01-04,APAC,AI,19,154.98,2944.69
2025-01-04,EMEA,Data Engineering,1,119.28,119.28
2025-01-04,EMEA,AI,15,151.56,2273.46
2025-01-04,EMEA,AI,15,137.5,2062.52
2025-01-04,AMER,AI,16,69.35,1109.66
2025-01-04,APAC,AI,19,110.87,2106.45
2025-01-05,EMEA,Analytics,10,187.34,1873.43
2025-01-05,AMER,AI,2,126.16,252.32
2025-01-05,EMEA,Data Engineering,7,114.71,802.95
2025-01-05,EMEA,Data Engineering,15,135.6,2033.96
2025-01-05,AMER,AI,18,117.62,2117.24
2025-01-05,EMEA,Data Engineering,15,127.8,1916.93
2025-01-05,AMER,Data Engineering,8,149.16,1193.3
2025-01-05,AMER,Analytics,17,102.27,1738.58
2025-01-05,EMEA,Data Engineering,10,60.07,600.68
2025-01-05,APAC,Analytics,4,56.14,224.57
2025-01-05,APAC,Analytics,4,67.62,270.47
2025-01-05,APAC,Data Engineering,17,143.37,2437.29
2025-01-06,APAC,Analytics,2,157.47,314.95
2025-01-06,AMER,Analytics,19,118.03,2242.49
2025-01-06,AMER,AI,18,90.75,1633.42
2025-01-06,AMER,AI,12,103.71,1244.56
2025-01-06,AMER,Data Engineering,8,101.22,809.74
2025-01-06,EMEA,Analytics,2,157.71,315.42
2025-01-06,APAC,AI,11,120.4,1324.4
2025-01-06,AMER,Data Engineering,16,110.2,1763.19
2025-01-06,APAC,Data Engineering,3,163.72,491.15
2025-01-06,EMEA,Analytics,7,111.0,777.02
2025-01-06,AMER,Analytics,4,169.62,678.49
2025-01-07,APAC,Data Engineering,16,130.12,2081.92
2025-01-07,AMER,Data Engineering,10,76.38,763.79
2025-01-07,EMEA,AI,8,67.17,537.36
2025-01-07,APAC,Data Engineering,9,119.3,1073.67
2025-01-07,EMEA,AI,2,133.64,267.29
2025-01-07,APAC,Data Engineering,8,115.71,925.7
2025-01-07,AMER,Data Engineering,18,160.07,2881.19
2025-01-07,AMER,Data Engineering,18,128.75,2317.51
2025-01-08,AMER,Data Engineering,10,104.76,1047.61
2025-01-08,APAC,Analytics,4,115.46,461.83
2025-01-08,APAC,Analytics,5,155.3,776.48
2025-01-08,AMER,Analytics,19,103.09,1958.76
2025-01-08,EMEA,Analytics,12,148.49,1781.83
2025-01-08,APAC,Data Engineering,2,136.26,272.51
2025-01-08,APAC,AI,18,144.94,2608.84
2025-01-08,EMEA,Data Engineering,9,165.45,1489.04
2025-01-08,EMEA,Analytics,4,145.85,583.41
2025-01-08,EMEA,Analytics,5,176.37,881.85
2025-01-08,AMER,Data Engineering,17,85.64,1455.96
2025-01-08,EMEA,AI,16,89.55,1432.79
2025-01-09,APAC,AI,3,70.69,212.06
2025-01-09,AMER,AI,17,127.78,2172.24
2025-01-09,APAC,Analytics,16,121.16,1938.5
2025-01-09,AMER,AI,4,74.6,298.38
2025-01-09,EMEA,AI,6,70.7,424.17
2025-01-09,EMEA,AI,13,118.16,1536.05
2025-01-09,AMER,Data Engineering,14,100.26,1403.62
2025-01-09,AMER,Analytics,14,93.4,1307.61
2025-01-09,EMEA,Data Engineering,3,130.68,392.05
2025-01-10,EMEA,AI,13,78.22,1016.81
2025-01-10,APAC,AI,18,117.32,2111.68
2025-01-10,APAC,Analytics,17,106.19,1805.3
2025-01-10,EMEA,AI,2,117.53,235.05
2025-01-10,AMER,Analytics,4,154.64,618.55
2025-01-10,EMEA,AI,8,53.99,431.9
2025-01-10,EMEA,AI,6,25.0,150.0
2025-01-10,APAC,Data Engineering,9,160.01,1440.06
2025-01-11,AMER,Data Engineering,12,91.78,1101.35
2025-01-11,APAC,Analytics,4,121.44,485.76
2025-01-11,AMER,AI,3,121.15,363.46
2025-01-11,EMEA,Analytics,15,126.47,1897.07
2025-01-11,AMER,Data Engineering,6,135.33,812.0
2025-01-11,EMEA,AI,17,81.87,1391.76
2025-01-11,APAC,Analytics,17,119.78,2036.25
2025-01-11,APAC,Data Engineering,9,163.81,1474.31
2025-01-11,APAC,Analytics,15,143.15,2147.27
2025-01-11,AMER,Data Engineering,7,127.51,892.58
2025-01-12,APAC,AI,18,87.69,1578.49
2025-01-12,AMER,Analytics,6,114.65,687.91
2025-01-12,APAC,Data Engineering,13,119.83,1557.83
2025-01-12,AMER,Data Engineering,4,103.34,413.37
2025-01-12,EMEA,AI,3,167.07,501.22
2025-01-12,AMER,AI,18,147.51,2655.1
2025-01-12,APAC,Data Engineering,12,126.46,1517.58
2025-01-12,EMEA,Analytics,4,113.89,455.57
2025-01-12,EMEA,Data Engineering,7,136.67,956.69
2025-01-12,AMER,Analytics,8,102.62,820.95
2025-01-13,APAC,AI,17,135.2,2298.41
2025-01-13,APAC,AI,19,86.73,1647.84
2025-01-13,EMEA,Data Engineering,8,146.21,1169.68
2025-01-13,APAC,Data Engineering,7,113.37,793.58
2025-01-13,EMEA,Analytics,15,72.21,1083.15
2025-01-13,APAC,Analytics,7,146.54,1025.76
2025-01-13,AMER,AI,18,137.31,2471.61
2025-01-13,AMER,Data Engineering,3,138.09,414.26
2025-01-13,APAC,AI,11,125.74,1383.17
2025-01-13,AMER,Data Engineering,17,133.83,2275.07
2025-01-14,AMER,Analytics,17,113.91,1936.53
2025-01-14,AMER,Analytics,9,129.57,1166.15
2025-01-14,APAC,Analytics,8,158.39,1267.12
2025-01-14,APAC,Analytics,9,152.44,1371.97
2025-01-14,AMER,Data Engineering,6,136.6,819.61
2025-01-14,AMER,AI,5,114.1,570.49
2025-01-14,AMER,Analytics,10,100.37,1003.75
2025-01-14,APAC,Data Engineering,10,164.37,1643.74
2025-01-14,APAC,Analytics,11,94.34,1037.73
2025-01-15,AMER,Analytics,4,113.84,455.36
2025-01-15,AMER,Analytics,11,128.9,1417.92
2025-01-15,AMER,AI,14,126.2,1766.77
2025-01-15,EMEA,Data Engineering,8,135.11,1080.85
2025-01-15,APAC,Data Engineering,8,121.67,973.39
2025-01-15,APAC,AI,3,131.64,394.92
2025-01-15,AMER,Data Engineering,5,145.64,728.2
2025-01-15,APAC,Data Engineering,4,115.5,462.01
2025-01-15,EMEA,AI,11,99.64,1096.02
2025-01-15,AMER,Data Engineering,6,187.73,1126.39
2025-01-15,AMER,Analytics,10,84.88,848.83
2025-01-15,APAC,Data Engineering,17,114.7,1949.84
2025-01-15,AMER,Data Engineering,19,85.47,1623.98
2025-01-16,APAC,Data Engineering,14,152.54,2135.6
2025-01-16,AMER,AI,6,135.44,812.61
2025-01-16,APAC,Data Engineering,15,109.83,1647.38
2025-01-16,APAC,Data Engineering,12,76.68,920.21
2025-01-16,AMER,Data Engineering,12,126.49,1517.91
2025-01-16,APAC,Analytics,2,68.01,136.01
2025-01-16,EMEA,AI,9,131.76,1185.87
2025-01-16,AMER,AI,16,150.88,2414.01
2025-01-16,AMER,AI,16,92.08,1473.23
2025-01-16,AMER,Analytics,8,133.91,1071.32
2025-01-16,APAC,Data Engineering,14,137.94,1931.17
2025-01-16,EMEA,AI,4,108.49,433.96
2025-01-17,AMER,Analytics,2,196.11,392.22
2025-01-17,AMER,Analytics,13,100.58,1307.56
2025-01-17,AMER,AI,8,69.86,558.88
2025-01-17,EMEA,AI,18,82.45,1484.06
2025-01-17,AMER,Data Engineering,11,130.12,1431.29
2025-01-17,APAC,Data Engineering,12,106.23,1274.74
2025-01-17,APAC,Analytics,12,103.92,1246.99
2025-01-17,AMER,Analytics,16,89.19,1427.09
2025-01-17,EMEA,Analytics,4,118.55,474.22
2025-01-17,EMEA,Analytics,15,120.11,1801.58
2025-01-17,EMEA,Data Engineering,14,90.69,1269.6
2025-01-18,AMER,Analytics,9,164.95,1484.54
2025-01-18,APAC,Data Engineering,7,113.18,792.27
2025-01-18,AMER,AI,8,137.63,1101.04
2025-01-18,APAC,AI,4,118.58,474.33
2025-01-18,AMER,AI,9,116.94,1052.44
2025-01-18,AMER,AI,2,92.81,185.62
2025-01-18,EMEA,Data Engineering,8,68.34,546.75
2025-01-18,APAC,Data Engineering,19,65.81,1250.38
2025-01-18,EMEA,Data Engineering,1,122.53,122.53
2025-01-18,AMER,Data Engineering,6,87.36,524.15
2025-01-19,AMER,AI,15,131.38,1970.74
2025-01-19,AMER,AI,8,98.35,786.84
2025-01-19,EMEA,Analytics,13,132.98,1728.78
2025-01-19,APAC,AI,19,71.48,1358.15
2025-01-19,APAC,AI,18,175.84,3165.05
2025-01-19,EMEA,Data Engineering,19,127.32,2419.04
2025-01-19,AMER,AI,7,121.49,850.43
2025-01-19,APAC,Analytics,10,88.83,888.32
2025-01-19,APAC,Analytics,5,82.05,410.23
2025-01-19,AMER,AI,10,79.96,799.59
2025-01-19,AMER,AI,6,91.16,546.96
2025-01-20,APAC,AI,16,161.73,2587.74
2025-01-20,AMER,Data Engineering,8,135.8,1086.39
2025-01-20,APAC,Analytics,11,87.66,964.29
2025-01-20,APAC,Data Engineering,15,74.81,1122.17
2025-01-20,APAC,Data Engineering,12,144.62,1735.41
2025-01-20,AMER,Analytics,2,93.89,187.79
2025-01-20,EMEA,Analytics,7,119.07,833.51
2025-01-20,EMEA,Analytics,13,117.19,1523.42
2025-01-20,APAC,AI,4,118.84,475.36
2025-01-20,EMEA,Analytics,4,176.0,704.01
2025-01-20,EMEA,Analytics,17,118.05,2006.86
2025-01-20,APAC,AI,2,97.73,195.45
2025-01-21,AMER,AI,14,138.18,1934.56
2025-01-21,APAC,Analytics,1,114.51,114.51
2025-01-21,APAC,AI,10,91.56,915.61
2025-01-21,APAC,AI,12,127.02,1524.2
2025-01-21,EMEA,AI,15,79.13,1186.96
2025-01-21,APAC,Analytics,18,101.51,1827.1
2025-01-21,EMEA,Analytics,3,57.74,173.23
2025-01-21,APAC,AI,10,115.26,1152.59
2025-01-21,APAC,AI,4,108.79,435.17
2025-01-21,AMER,Data Engineering,5,103.42,517.11
2025-01-21,APAC,AI,4,83.88,335.5
2025-01-21,AMER,Analytics,3,132.81,398.44
2025-01-21,EMEA,Analytics,6,106.82,640.94
2025-01-22,APAC,AI,12,133.81,1605.76
2025-01-22,AMER,AI,9,131.5,1183.49
2025-01-22,AMER,AI,18,112.22,2019.89
2025-01-22,EMEA,Data Engineering,7,126.2,883.41
2025-01-22,APAC,Data Engineering,12,136.14,1633.64
2025-01-22,AMER,Analytics,2,127.02,254.03
2025-01-22,AMER,Analytics,3,148.28,444.83
2025-01-22,APAC,Analytics,17,131.32,2232.38
2025-01-22,AMER,Data Engineering,19,81.11,1541.03
2025-01-22,AMER,AI,16,108.87,1741.99
2025-01-22,AMER,Analytics,19,172.44,3276.34
2025-01-23,EMEA,AI,10,112.75,1127.54
2025-01-23,EMEA,Data Engineering,5,132.76,663.8
2025-01-23,AMER,Data Engineering,17,123.31,2096.22
2025-01-23,APAC,AI,11,118.32,1301.49
2025-01-23,APAC,AI,4,137.52,550.1
2025-01-23,AMER,AI,11,110.72,1217.9
2025-01-23,AMER,AI,18,89.92,1618.6
2025-01-23,EMEA,Data Engineering,4,118.35,473.38
2025-01-23,EMEA,Analytics,15,69.07,1036.04
2025-01-23,APAC,Analytics,2,94.07,188.15
2025-01-23,AMER,Data Engineering,5,109.95,549.77
2025-01-23,AMER,Data Engineering,15,101.97,1529.57
2025-01-24,EMEA,Analytics,6,37.19,223.12
2025-01-24,AMER,Data Engineering,10,136.3,1362.96
2025-01-24,EMEA,AI,3,154.05,462.15
2025-01-24,AMER,Analytics,6,129.06,774.36
2025-01-24,AMER,AI,18,118.79,2138.3
2025-01-24,APAC,AI,9,178.72,1608.51
2025-01-24,AMER,Analytics,14,125.95,1763.36
2025-01-24,AMER,Analytics,15,119.09,1786.36
2025-01-24,EMEA,Data Engineering,4,114.42,457.68
2025-01-25,APAC,Analytics,7,151.36,1059.5
2025-01-25,AMER,Analytics,4,92.55,370.19
2025-01-25,EMEA,Analytics,17,74.33,1263.56
2025-01-25,EMEA,AI,9,134.82,1213.37
2025-01-25,EMEA,Analytics,10,150.87,1508.68
2025-01-25,APAC,AI,6,152.89,917.36
2025-01-25,AMER,Analytics,16,126.14,2018.24
2025-01-25,EMEA,AI,15,140.26,2103.95
2025-01-25,EMEA,Analytics,2,122.19,244.37
2025-01-25,EMEA,AI,2,147.47,294.95
2025-01-25,AMER,Data Engineering,7,156.34,1094.36
2025-01-25,APAC,AI,17,179.97,3059.49
2025-01-26,APAC,AI,10,166.0,1660.04
2025-01-26,EMEA,Data Engineering,15,123.51,1852.59
2025-01-26,APAC,Analytics,16,95.13,1522.01
2025-01-26,AMER,AI,15,139.96,2099.44
2025-01-26,AMER,AI,1,115.76,115.76
2025-01-26,APAC,Analytics,4,109.95,439.81
2025-01-26,APAC,Analytics,19,93.3,1772.67
2025-01-26,EMEA,AI,15,153.95,2309.3
2025-01-27,AMER,Data Engineering,15,109.43,1641.43
2025-01-27,EMEA,Data Engineering,11,141.02,1551.17
2025-01-27,EMEA,AI,15,108.66,1629.85
2025-01-27,EMEA,AI,12,148.67,1784.04
2025-01-27,EMEA,Analytics,16,181.72,2907.57
2025-01-27,EMEA,Analytics,8,109.01,872.06
2025-01-27,AMER,AI,14,140.14,1961.96
2025-01-27,EMEA,Analytics,11,177.73,1954.99
2025-01-27,AMER,Data Engineering,13,140.53,1826.87
2025-01-28,EMEA,Analytics,14,139.13,1947.84
2025-01-28,APAC,Analytics,18,133.02,2394.31
2025-01-28,EMEA,Analytics,14,69.29,970.0
2025-01-28,APAC,AI,18,97.76,1759.65
2025-01-28,AMER,Analytics,3,109.75,329.26
2025-01-28,EMEA,AI,15,156.51,2347.63
2025-01-28,AMER,Analytics,17,179.4,3049.72
2025-01-28,EMEA,Data Engineering,15,65.93,988.9
2025-01-28,EMEA,Data Engineering,5,104.94,524.72
2025-01-28,APAC,Analytics,1,59.93,59.93
2025-01-28,EMEA,Analytics,10,128.92,1289.21
2025-01-28,EMEA,Analytics,10,110.59,1105.91
2025-01-28,EMEA,Analytics,4,101.63,406.5
2025-01-29,AMER,Analytics,19,175.37,3331.95
2025-01-29,APAC,Analytics,7,159.65,1117.58
2025-01-29,AMER,Analytics,8,163.28,1306.26
2025-01-29,APAC,Data Engineering,15,117.93,1769.01
2025-01-29,APAC,AI,9,106.94,962.49
2025-01-29,AMER,Analytics,17,87.46,1486.85
2025-01-29,EMEA,Analytics,2,117.91,235.82
2025-01-29,AMER,AI,3,135.97,407.91
2025-01-29,APAC,AI,16,113.79,1820.56
2025-01-30,EMEA,Data Engineering,16,123.66,1978.54
2025-01-30,EMEA,AI,19,99.67,1893.67
2025-01-30,APAC,Analytics,4,164.71,658.84
2025-01-30,AMER,Data Engineering,2,99.9,199.79
2025-01-30,APAC,Data Engineering,18,138.19,2487.39
2025-01-30,APAC,AI,12,72.78,873.35
2025-01-30,EMEA,AI,18,100.03,1800.56
2025-01-30,EMEA,AI,15,92.4,1385.94
2025-01-30,EMEA,Data Engineering,12,75.07,900.8
2025-01-30,APAC,AI,8,131.15,1049.17
2025-01-30,AMER,Data Engineering,2,114.01,228.02
2025-01-30,AMER,Analytics,9,97.32,875.85
2025-01-30,EMEA,Data Engineering,13,133.06,1729.79
2025-01-31,EMEA,AI,15,118.45,1776.68
2025-01-31,EMEA,Analytics,9,140.91,1268.17
2025-01-31,APAC,AI,3,123.17,369.51
2025-01-31,EMEA,Analytics,2,121.14,242.28
2025-01-31,APAC,AI,9,131.76,1185.86
2025-01-31,AMER,AI,5,76.3,381.5
2025-01-31,EMEA,Analytics,9,126.23,1136.04
2025-01-31,APAC,Data Engineering,8,169.02,1352.19
2025-01-31,APAC,AI,15,68.73,1031.0
2025-01-31,APAC,Data Engineering,14,117.31,1642.34
2025-02-01,APAC,AI,13,100.76,1309.94
2025-02-01,AMER,AI,18,118.84,2139.21
2025-02-01,EMEA,AI,7,197.15,1380.05
2025-02-01,AMER,AI,15,94.8,1422.07
2025-02-01,APAC,Analytics,2,85.56,171.11
2025-02-01,APAC,Analytics,14,90.64,1268.96
2025-02-01,APAC,Analytics,19,105.73,2008.89
2025-02-01,EMEA,AI,1,107.61,107.61
2025-02-01,AMER,Data Engineering,1,114.43,114.43
2025-02-02,EMEA,Analytics,14,143.95,2015.34
2025-02-02,EMEA,Analytics,18,93.38,1680.82
2025-02-02,APAC,Data Engineering,11,102.63,1128.95
2025-02-02,AMER,Analytics,16,163.45,2615.21
2025-02-02,APAC,AI,1,154.78,154.78
2025-02-02,AMER,AI,18,101.95,1835.19
2025-02-02,APAC,Data Engineering,1,194.59,194.59
2025-02-02,EMEA,Data Engineering,13,117.46,1526.92
2025-02-02,AMER,Data Engineering,2,156.31,312.63
2025-02-02,EMEA,Analytics,16,111.61,1785.77
2025-02-02,APAC,Analytics,3,123.29,369.86
2025-02-02,APAC,Analytics,5,144.39,721.94
2025-02-02,APAC,AI,7,146.04,1022.26
2025-02-03,APAC,AI,16,127.61,2041.71
2025-02-03,APAC,AI,13,92.18,1198.4
2025-02-03,EMEA,Data Engineering,5,133.81,669.03
2025-02-03,AMER,Data Engineering,15,129.22,1938.29
2025-02-03,AMER,AI,10,123.61,1236.14
2025-02-03,APAC,Data Engineering,6,119.37,716.2
2025-02-03,APAC,AI,14,90.99,1273.85
2025-02-03,AMER,Data Engineering,6,87.9,527.42
2025-02-03,EMEA,Data Engineering,1,88.2,88.2
2025-02-04,AMER,Data Engineering,5,180.67,903.34
2025-02-04,AMER,AI,18,123.63,2225.34
2025-02-04,APAC,AI,1,166.43,166.43
2025-02-04,AMER,Analytics,5,118.53,592.65
2025-02-04,AMER,AI,17,125.62,2135.49
2025-02-04,AMER,Analytics,16,142.08,2273.26
2025-02-04,APAC,AI,10,134.64,1346.41
2025-02-04,APAC,Analytics,8,147.0,1176.01
2025-02-04,AMER,Data Engineering,2,124.45,248.89
2025-02-05,EMEA,AI,9,106.29,956.58
2025-02-05,EMEA,Data Engineering,5,129.24,646.21
2025-02-05,APAC,Analytics,8,155.67,1245.38
2025-02-05,AMER,AI,19,100.82,1915.63
2025-02-05,AMER,Analytics,4,157.8,631.21
2025-02-05,EMEA,Analytics,9,109.24,983.14
2025-02-05,AMER,Analytics,9,155.76,1401.86
2025-02-05,EMEA,AI,5,141.42,707.11
2025-02-06,APAC,AI,7,119.04,833.31
2025-02-06,APAC,Data Engineering,1,105.24,105.24
2025-02-06,AMER,AI,17,103.04,1751.6
2025-02-06,EMEA,Data Engineering,13,153.4,1994.2
2025-02-06,EMEA,Data Engineering,5,156.05,780.27
2025-02-06,AMER,Data Engineering,9,188.13,1693.14
2025-02-06,AMER,Analytics,12,110.46,1325.47
2025-02-06,AMER,Data Engineering,14,171.01,2394.18
2025-02-07,EMEA,Analytics,18,139.93,2518.73
2025-02-07,APAC,Data Engineering,14,117.87,1650.24
2025-02-07,EMEA,Data Engineering,7,139.59,977.13
2025-02-07,EMEA,Analytics,9,52.22,469.94
2025-02-07,EMEA,AI,13,88.98,1156.72
2025-02-07,EMEA,Data Engineering,3,93.34,280.01
2025-02-07,AMER,Data Engineering,4,92.66,370.64
2025-02-07,EMEA,Analytics,12,119.2,1430.39
2025-02-07,AMER,Analytics,12,115.35,1384.16
2025-02-07,EMEA,Analytics,1,151.44,151.44
2025-02-07,EMEA,AI,3,117.2,351.6
2025-02-08,AMER,Data Engineering,18,109.76,1975.63
2025-02-08,AMER,Analytics,6,122.48,734.9
2025-02-08,APAC,Data Engineering,4,150.84,603.36
2025-02-08,APAC,AI,3,95.24,285.71
2025-02-08,EMEA,Data Engineering,13,131.75,1712.72
2025-02-08,AMER,AI,18,131.13,2360.36
2025-02-08,EMEA,Data Engineering,5,148.77,743.87
2025-02-08,EMEA,Analytics,12,133.08,1597.0
2025-02-09,AMER,AI,6,111.41,668.48
2025-02-09,AMER,Data Engineering,2,113.24,226.47
2025-02-09,APAC,Data Engineering,6,98.22,589.31
2025-02-09,APAC,AI,19,113.42,2155.0
2025-02-09,AMER,Analytics,7,67.54,472.79
2025-02-09,APAC,AI,9,58.75,528.73
2025-02-09,APAC,Analytics,11,88.3,971.33
2025-02-09,APAC,AI,16,78.85,1261.62
2025-02-09,EMEA,Analytics,4,118.21,472.82
2025-02-09,EMEA,Analytics,9,172.69,1554.18
2025-02-09,EMEA,AI,16,90.8,1452.78
2025-02-09,EMEA,Data Engineering,11,112.62,1238.8
2025-02-09,EMEA,Data Engineering,16,172.23,2755.61
2025-02-10,EMEA,Data Engineering,15,146.44,2196.67
2025-02-10,EMEA,Data Engineering,15,96.23,1443.52
2025-02-10,AMER,AI,11,123.57,1359.25
2025-02-10,AMER,AI,17,154.35,2623.97
2025-02-10,APAC,AI,18,107.86,1941.45
2025-02-10,APAC,Data Engineering,7,95.36,667.49
2025-02-10,AMER,AI,12,145.94,1751.27
2025-02-10,AMER,Analytics,1,86.47,86.47
2025-02-10,EMEA,AI,8,53.08,424.67
2025-02-11,APAC,Analytics,3,134.44,403.32
2025-02-11,EMEA,AI,7,155.19,1086.33
2025-02-11,AMER,AI,4,154.74,618.94
2025-02-11,AMER,Data Engineering,7,91.4,639.81
2025-02-11,EMEA,Analytics,16,164.12,2625.95
2025-02-11,EMEA,AI,3,86.8,260.39
2025-02-11,AMER,AI,6,124.98,749.9
2025-02-11,APAC,Data Engineering,6,113.59,681.55
2025-02-12,APAC,Analytics,3,120.0,359.99
2025-02-12,EMEA,AI,4,126.62,506.49
2025-02-12,APAC,Analytics,6,100.77,604.63
2025-02-12,AMER,Data Engineering,3,99.59,298.78
2025-02-12,AMER,Data Engineering,12,189.28,2271.3
2025-02-12,APAC,AI,1,195.27,195.27
2025-02-12,AMER,Analytics,17,84.42,1435.07
2025-02-12,EMEA,Data Engineering,15,103.76,1556.46
2025-02-12,AMER,AI,2,103.48,206.96
2025-02-12,AMER,Analytics,6,106.77,640.59
2025-02-12,APAC,AI,12,118.51,1422.15
2025-02-12,APAC,Data Engineering,18,151.25,2722.58
2025-02-12,APAC,AI,7,135.14,945.99
2025-02-13,EMEA,AI,10,116.18,1161.8
2025-02-13,APAC,AI,15,87.47,1312.09
2025-02-13,APAC,Analytics,9,121.02,1089.2
2025-02-13,AMER,AI,11,99.69,1096.59
2025-02-13,APAC,AI,8,98.46,787.72
2025-02-13,EMEA,AI,3,51.82,155.47
2025-02-13,AMER,AI,8,59.74,477.95
2025-02-13,AMER,Data Engineering,4,139.43,557.73
2025-02-13,AMER,Data Engineering,16,97.13,1554.12
2025-02-14,AMER,AI,6,120.12,720.74
2025-02-14,AMER,Analytics,7,158.9,1112.28
2025-02-14,AMER,AI,10,130.64,1306.41
2025-02-14,APAC,Data Engineering,6,88.24,529.43
2025-02-14,APAC,Data Engineering,17,91.58,1556.92
2025-02-14,APAC,Analytics,6,190.23,1141.39
2025-02-14,AMER,AI,3,75.69,227.06
2025-02-14,AMER,Analytics,17,115.07,1956.21
2025-02-15,EMEA,Data Engineering,11,105.29,1158.14
2025-02-15,AMER,AI,10,70.78,707.79
2025-02-15,AMER,Data Engineering,19,121.37,2306.02
2025-02-15,APAC,AI,18,108.82,1958.71
2025-02-15,AMER,Analytics,18,102.2,1839.57
2025-02-15,EMEA,Analytics,18,65.45,1178.05
2025-02-15,APAC,Analytics,14,54.36,760.98
2025-02-15,APAC,Analytics,6,126.58,759.46
2025-02-15,EMEA,Data Engineering,17,118.17,2008.85
2025-02-15,AMER,AI,1,117.54,117.54
2025-02-16,AMER,AI,15,94.35,1415.2
2025-02-16,EMEA,Data Engineering,14,139.22,1949.11
2025-02-16,AMER,AI,14,105.11,1471.51
